Resort Hotel	0	342	2015	July	0	0	2	PRT	Direct	Direct	0	No Deposit	Transient	0	Check-Out	2015-07-01
Resort Hotel	0	737	2015	July	0	0	2	PRT	Direct	Direct	0	No Deposit	Transient	0	Check-Out	2015-07-01
Resort Hotel	0	7	2015	July	0	1	1	GBR	Direct	Direct	0	No Deposit	Transient	75	Check-Out	2015-07-02
Resort Hotel	0	13	2015	July	0	1	1	GBR	Corporate	Corporate	0	No Deposit	Transient	75	Check-Out	2015-07-02
Resort Hotel	0	14	2015	July	0	2	2	GBR	Online TA	TA/TO	0	No Deposit	Transient	98	Check-Out	2015-07-03
Resort Hotel	0	14	2015	July	0	2	2	GBR	Online TA	TA/TO	0	No Deposit	Transient	98	Check-Out	2015-07-03
Resort Hotel	0	0	2015	July	0	2	2	PRT	Direct	Direct	0	No Deposit	Transient	107	Check-Out	2015-07-03
Resort Hotel	0	9	2015	July	0	2	2	PRT	Direct	Direct	0	No Deposit	Transient	103	Check-Out	2015-07-03
Resort Hotel	1	85	2015	July	0	3	2	PRT	Online TA	TA/TO	0	No Deposit	Transient	82	Canceled	2015-05-06
Resort Hotel	1	75	2015	July	0	3	2	PRT	Offline TA/TO	TA/TO	0	No Deposit	Transient	105.5	Canceled	2015-04-22
Resort Hotel	1	23	2015	July	0	4	2	PRT	Online TA	TA/TO	0	No Deposit	Transient	123	Canceled	2015-06-23
Resort Hotel	0	35	2015	July	0	4	2	PRT	Online TA	TA/TO	0	No Deposit	Transient	145	Check-Out	2015-07-05
Resort Hotel	0	68	2015	July	0	4	2	USA	Online TA	TA/TO	0	No Deposit	Transient	97	Check-Out	2015-07-05
Resort Hotel	0	18	2015	July	0	4	2	ESP	Online TA	TA/TO	0	No Deposit	Transient	154.77	Check-Out	2015-07-05
Resort Hotel	0	37	2015	July	0	4	2	PRT	Online TA	TA/TO	0	No Deposit	Transient	94.71	Check-Out	2015-07-05
Resort Hotel	0	68	2015	July	0	4	2	IRL	Online TA	TA/TO	0	No Deposit	Transient	97	Check-Out	2015-07-05
Resort Hotel	0	37	2015	July	0	4	2	PRT	Offline TA/TO	TA/TO	0	No Deposit	Contract	97.5	Check-Out	2015-07-05
Resort Hotel	0	12	2015	July	0	1	2	IRL	Online TA	TA/TO	0	No Deposit	Transient	88.2	Check-Out	2015-07-02
Resort Hotel	0	0	2015	July	0	1	2	FRA	Corporate	Corporate	0	No Deposit	Transient	107.42	Check-Out	2015-07-02
Resort Hotel	0	7	2015	July	0	4	2	GBR	Direct	Direct	0	No Deposit	Transient	153	Check-Out	2015-07-05
